word,divided
the,th-e
on,on
of,of
and,an-d
research,r-es-e-ar-ch
to,to
time,ti-me
you,y-ou
about,ab-ou-t
accomplishments,accomplishm-en-ts
actions,ac-ti-on-s
addressed,addr-es-s-ed
also,also
announced,an-n-ou-n-ce-d
aspect,aspect
bets,bets
business,bus-in-es-s
can,c-an
chip,chip
development,developm-en-t
dissolution,di-ss-olu-ti-on
during,dur-in-g
environmental,en-vir-on-m-en-ta-l
everyone,ev-er-y-on-e
experimental,exp-er-im-en-ta-l
focus,focus
from,f-ro-m
group,gr-ou-p
hours,h-ou-rs
i,i
ibm,ibm
importance,im-port-an-ce
improve,im-p-ro-ve
in,in
innovation,in-nova-ti-on
learned,le-ar-ne-d
long,l-on-g
monetizing,m-on-e-ti-z-in-g
more,mo-re
my,my
newly,ne-wly
office,offi-ce
our,ou-r
partnering,p-ar-t-ne-r-in-g
partnership,p-ar-t-ne-rshi-p
placing,plac-in-g
primarily,pr-im-ar-ily
process,p-ro-ce-ss
questions,qu-es-ti-on-s
reflect,re-flect
reinforced,re-in-for-ce-d
science,sci-en-ce
session,s-es-s-i-on
shared,sh-ar-ed
take,ta-ke
taking,ta-k-in-g
term,t-er-m
thank,th-an-k
their,th-eir
think,th-in-k
this,th-is
thoughts,th-ou-ghts
today,today
ufc,ufc
was,was
what,what
who,who
with,wi-th
your,y-ou-r
